name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.992262704306
Fp2	EOG	microvolts	499.992262704306
F7	EEG	microvolts	499.992262704306
F3	EEG	microvolts	499.992262704306
Fz	EEG	microvolts	499.992262704306
F4	EEG	microvolts	499.992262704306
F8	EEG	microvolts	499.992262704306
FC5	EEG	microvolts	499.992262704306
FC1	EEG	microvolts	499.992262704306
FC2	EEG	microvolts	499.992262704306
FC6	EEG	microvolts	499.992262704306
T7	EEG	microvolts	499.992262704306
C3	EEG	microvolts	499.992262704306
Cz	EEG	microvolts	499.992262704306
C4	EEG	microvolts	499.992262704306
T8	EEG	microvolts	499.992262704306
TP9	EEG	microvolts	499.992262704306
CP5	EEG	microvolts	499.992262704306
CP1	EEG	microvolts	499.992262704306
CP2	EEG	microvolts	499.992262704306
CP6	EEG	microvolts	499.992262704306
TP10	EEG	microvolts	499.992262704306
P7	EEG	microvolts	499.992262704306
P3	EEG	microvolts	499.992262704306
Pz	EEG	microvolts	499.992262704306
P4	EEG	microvolts	499.992262704306
P8	EEG	microvolts	499.992262704306
PO9	EEG	microvolts	499.992262704306
O1	EEG	microvolts	499.992262704306
Oz	EEG	microvolts	499.992262704306
O2	EEG	microvolts	499.992262704306
PO10	EEG	microvolts	499.992262704306
AF7	EEG	microvolts	499.992262704306
AF3	EEG	microvolts	499.992262704306
AF4	EEG	microvolts	499.992262704306
AF8	EEG	microvolts	499.992262704306
F5	EEG	microvolts	499.992262704306
F1	EEG	microvolts	499.992262704306
F2	EEG	microvolts	499.992262704306
F6	EEG	microvolts	499.992262704306
FT9	EEG	microvolts	499.992262704306
FT7	EEG	microvolts	499.992262704306
FC3	EEG	microvolts	499.992262704306
FC4	EEG	microvolts	499.992262704306
FT8	EEG	microvolts	499.992262704306
FT10	EEG	microvolts	499.992262704306
C5	EEG	microvolts	499.992262704306
C1	EEG	microvolts	499.992262704306
C2	EEG	microvolts	499.992262704306
C6	EEG	microvolts	499.992262704306
TP7	EEG	microvolts	499.992262704306
CP3	EEG	microvolts	499.992262704306
CPz	EEG	microvolts	499.992262704306
CP4	EEG	microvolts	499.992262704306
TP8	EEG	microvolts	499.992262704306
P5	EEG	microvolts	499.992262704306
P1	EEG	microvolts	499.992262704306
P2	EEG	microvolts	499.992262704306
P6	EEG	microvolts	499.992262704306
PO7	EEG	microvolts	499.992262704306
PO3	EEG	microvolts	499.992262704306
POz	EEG	microvolts	499.992262704306
PO4	EEG	microvolts	499.992262704306
PO8	EEG	microvolts	499.992262704306
