name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.993634431723
Fp2	EOG	microvolts	499.993634431723
F7	EEG	microvolts	499.993634431723
F3	EEG	microvolts	499.993634431723
Fz	EEG	microvolts	499.993634431723
F4	EEG	microvolts	499.993634431723
F8	EEG	microvolts	499.993634431723
FC5	EEG	microvolts	499.993634431723
FC1	EEG	microvolts	499.993634431723
FC2	EEG	microvolts	499.993634431723
FC6	EEG	microvolts	499.993634431723
T7	EEG	microvolts	499.993634431723
C3	EEG	microvolts	499.993634431723
Cz	EEG	microvolts	499.993634431723
C4	EEG	microvolts	499.993634431723
T8	EEG	microvolts	499.993634431723
TP9	EEG	microvolts	499.993634431723
CP5	EEG	microvolts	499.993634431723
CP1	EEG	microvolts	499.993634431723
CP2	EEG	microvolts	499.993634431723
CP6	EEG	microvolts	499.993634431723
TP10	EEG	microvolts	499.993634431723
P7	EEG	microvolts	499.993634431723
P3	EEG	microvolts	499.993634431723
Pz	EEG	microvolts	499.993634431723
P4	EEG	microvolts	499.993634431723
P8	EEG	microvolts	499.993634431723
PO9	EEG	microvolts	499.993634431723
O1	EEG	microvolts	499.993634431723
Oz	EEG	microvolts	499.993634431723
O2	EEG	microvolts	499.993634431723
PO10	EEG	microvolts	499.993634431723
AF7	EEG	microvolts	499.993634431723
AF3	EEG	microvolts	499.993634431723
AF4	EEG	microvolts	499.993634431723
AF8	EEG	microvolts	499.993634431723
F5	EEG	microvolts	499.993634431723
F1	EEG	microvolts	499.993634431723
F2	EEG	microvolts	499.993634431723
F6	EEG	microvolts	499.993634431723
FT9	EEG	microvolts	499.993634431723
FT7	EEG	microvolts	499.993634431723
FC3	EEG	microvolts	499.993634431723
FC4	EEG	microvolts	499.993634431723
FT8	EEG	microvolts	499.993634431723
FT10	EEG	microvolts	499.993634431723
C5	EEG	microvolts	499.993634431723
C1	EEG	microvolts	499.993634431723
C2	EEG	microvolts	499.993634431723
C6	EEG	microvolts	499.993634431723
TP7	EEG	microvolts	499.993634431723
CP3	EEG	microvolts	499.993634431723
CPz	EEG	microvolts	499.993634431723
CP4	EEG	microvolts	499.993634431723
TP8	EEG	microvolts	499.993634431723
P5	EEG	microvolts	499.993634431723
P1	EEG	microvolts	499.993634431723
P2	EEG	microvolts	499.993634431723
P6	EEG	microvolts	499.993634431723
PO7	EEG	microvolts	499.993634431723
PO3	EEG	microvolts	499.993634431723
POz	EEG	microvolts	499.993634431723
PO4	EEG	microvolts	499.993634431723
PO8	EEG	microvolts	499.993634431723
