name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.993768425183
Fp2	EOG	microvolts	499.993768425183
F7	EEG	microvolts	499.993768425183
F3	EEG	microvolts	499.993768425183
Fz	EEG	microvolts	499.993768425183
F4	EEG	microvolts	499.993768425183
F8	EEG	microvolts	499.993768425183
FC5	EEG	microvolts	499.993768425183
FC1	EEG	microvolts	499.993768425183
FC2	EEG	microvolts	499.993768425183
FC6	EEG	microvolts	499.993768425183
T7	EEG	microvolts	499.993768425183
C3	EEG	microvolts	499.993768425183
Cz	EEG	microvolts	499.993768425183
C4	EEG	microvolts	499.993768425183
T8	EEG	microvolts	499.993768425183
TP9	EEG	microvolts	499.993768425183
CP5	EEG	microvolts	499.993768425183
CP1	EEG	microvolts	499.993768425183
CP2	EEG	microvolts	499.993768425183
CP6	EEG	microvolts	499.993768425183
TP10	EEG	microvolts	499.993768425183
P7	EEG	microvolts	499.993768425183
P3	EEG	microvolts	499.993768425183
Pz	EEG	microvolts	499.993768425183
P4	EEG	microvolts	499.993768425183
P8	EEG	microvolts	499.993768425183
PO9	EEG	microvolts	499.993768425183
O1	EEG	microvolts	499.993768425183
Oz	EEG	microvolts	499.993768425183
O2	EEG	microvolts	499.993768425183
PO10	EEG	microvolts	499.993768425183
AF7	EEG	microvolts	499.993768425183
AF3	EEG	microvolts	499.993768425183
AF4	EEG	microvolts	499.993768425183
AF8	EEG	microvolts	499.993768425183
F5	EEG	microvolts	499.993768425183
F1	EEG	microvolts	499.993768425183
F2	EEG	microvolts	499.993768425183
F6	EEG	microvolts	499.993768425183
FT9	EEG	microvolts	499.993768425183
FT7	EEG	microvolts	499.993768425183
FC3	EEG	microvolts	499.993768425183
FC4	EEG	microvolts	499.993768425183
FT8	EEG	microvolts	499.993768425183
FT10	EEG	microvolts	499.993768425183
C5	EEG	microvolts	499.993768425183
C1	EEG	microvolts	499.993768425183
C2	EEG	microvolts	499.993768425183
C6	EEG	microvolts	499.993768425183
TP7	EEG	microvolts	499.993768425183
CP3	EEG	microvolts	499.993768425183
CPz	EEG	microvolts	499.993768425183
CP4	EEG	microvolts	499.993768425183
TP8	EEG	microvolts	499.993768425183
P5	EEG	microvolts	499.993768425183
P1	EEG	microvolts	499.993768425183
P2	EEG	microvolts	499.993768425183
P6	EEG	microvolts	499.993768425183
PO7	EEG	microvolts	499.993768425183
PO3	EEG	microvolts	499.993768425183
POz	EEG	microvolts	499.993768425183
PO4	EEG	microvolts	499.993768425183
PO8	EEG	microvolts	499.993768425183
