name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.992598108159
Fp2	EOG	microvolts	499.992598108159
F7	EEG	microvolts	499.992598108159
F3	EEG	microvolts	499.992598108159
Fz	EEG	microvolts	499.992598108159
F4	EEG	microvolts	499.992598108159
F8	EEG	microvolts	499.992598108159
FC5	EEG	microvolts	499.992598108159
FC1	EEG	microvolts	499.992598108159
FC2	EEG	microvolts	499.992598108159
FC6	EEG	microvolts	499.992598108159
T7	EEG	microvolts	499.992598108159
C3	EEG	microvolts	499.992598108159
Cz	EEG	microvolts	499.992598108159
C4	EEG	microvolts	499.992598108159
T8	EEG	microvolts	499.992598108159
TP9	EEG	microvolts	499.992598108159
CP5	EEG	microvolts	499.992598108159
CP1	EEG	microvolts	499.992598108159
CP2	EEG	microvolts	499.992598108159
CP6	EEG	microvolts	499.992598108159
TP10	EEG	microvolts	499.992598108159
P7	EEG	microvolts	499.992598108159
P3	EEG	microvolts	499.992598108159
Pz	EEG	microvolts	499.992598108159
P4	EEG	microvolts	499.992598108159
P8	EEG	microvolts	499.992598108159
PO9	EEG	microvolts	499.992598108159
O1	EEG	microvolts	499.992598108159
Oz	EEG	microvolts	499.992598108159
O2	EEG	microvolts	499.992598108159
PO10	EEG	microvolts	499.992598108159
AF7	EEG	microvolts	499.992598108159
AF3	EEG	microvolts	499.992598108159
AF4	EEG	microvolts	499.992598108159
AF8	EEG	microvolts	499.992598108159
F5	EEG	microvolts	499.992598108159
F1	EEG	microvolts	499.992598108159
F2	EEG	microvolts	499.992598108159
F6	EEG	microvolts	499.992598108159
FT9	EEG	microvolts	499.992598108159
FT7	EEG	microvolts	499.992598108159
FC3	EEG	microvolts	499.992598108159
FC4	EEG	microvolts	499.992598108159
FT8	EEG	microvolts	499.992598108159
FT10	EEG	microvolts	499.992598108159
C5	EEG	microvolts	499.992598108159
C1	EEG	microvolts	499.992598108159
C2	EEG	microvolts	499.992598108159
C6	EEG	microvolts	499.992598108159
TP7	EEG	microvolts	499.992598108159
CP3	EEG	microvolts	499.992598108159
CPz	EEG	microvolts	499.992598108159
CP4	EEG	microvolts	499.992598108159
TP8	EEG	microvolts	499.992598108159
P5	EEG	microvolts	499.992598108159
P1	EEG	microvolts	499.992598108159
P2	EEG	microvolts	499.992598108159
P6	EEG	microvolts	499.992598108159
PO7	EEG	microvolts	499.992598108159
PO3	EEG	microvolts	499.992598108159
POz	EEG	microvolts	499.992598108159
PO4	EEG	microvolts	499.992598108159
PO8	EEG	microvolts	499.992598108159
