name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.993710704343
Fp2	EOG	microvolts	499.993710704343
F7	EEG	microvolts	499.993710704343
F3	EEG	microvolts	499.993710704343
Fz	EEG	microvolts	499.993710704343
F4	EEG	microvolts	499.993710704343
F8	EEG	microvolts	499.993710704343
FC5	EEG	microvolts	499.993710704343
FC1	EEG	microvolts	499.993710704343
FC2	EEG	microvolts	499.993710704343
FC6	EEG	microvolts	499.993710704343
T7	EEG	microvolts	499.993710704343
C3	EEG	microvolts	499.993710704343
Cz	EEG	microvolts	499.993710704343
C4	EEG	microvolts	499.993710704343
T8	EEG	microvolts	499.993710704343
TP9	EEG	microvolts	499.993710704343
CP5	EEG	microvolts	499.993710704343
CP1	EEG	microvolts	499.993710704343
CP2	EEG	microvolts	499.993710704343
CP6	EEG	microvolts	499.993710704343
TP10	EEG	microvolts	499.993710704343
P7	EEG	microvolts	499.993710704343
P3	EEG	microvolts	499.993710704343
Pz	EEG	microvolts	499.993710704343
P4	EEG	microvolts	499.993710704343
P8	EEG	microvolts	499.993710704343
PO9	EEG	microvolts	499.993710704343
O1	EEG	microvolts	499.993710704343
Oz	EEG	microvolts	499.993710704343
O2	EEG	microvolts	499.993710704343
PO10	EEG	microvolts	499.993710704343
AF7	EEG	microvolts	499.993710704343
AF3	EEG	microvolts	499.993710704343
AF4	EEG	microvolts	499.993710704343
AF8	EEG	microvolts	499.993710704343
F5	EEG	microvolts	499.993710704343
F1	EEG	microvolts	499.993710704343
F2	EEG	microvolts	499.993710704343
F6	EEG	microvolts	499.993710704343
FT9	EEG	microvolts	499.993710704343
FT7	EEG	microvolts	499.993710704343
FC3	EEG	microvolts	499.993710704343
FC4	EEG	microvolts	499.993710704343
FT8	EEG	microvolts	499.993710704343
FT10	EEG	microvolts	499.993710704343
C5	EEG	microvolts	499.993710704343
C1	EEG	microvolts	499.993710704343
C2	EEG	microvolts	499.993710704343
C6	EEG	microvolts	499.993710704343
TP7	EEG	microvolts	499.993710704343
CP3	EEG	microvolts	499.993710704343
CPz	EEG	microvolts	499.993710704343
CP4	EEG	microvolts	499.993710704343
TP8	EEG	microvolts	499.993710704343
P5	EEG	microvolts	499.993710704343
P1	EEG	microvolts	499.993710704343
P2	EEG	microvolts	499.993710704343
P6	EEG	microvolts	499.993710704343
PO7	EEG	microvolts	499.993710704343
PO3	EEG	microvolts	499.993710704343
POz	EEG	microvolts	499.993710704343
PO4	EEG	microvolts	499.993710704343
PO8	EEG	microvolts	499.993710704343
