name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.991593299685
Fp2	EOG	microvolts	499.991593299685
F7	EEG	microvolts	499.991593299685
F3	EEG	microvolts	499.991593299685
Fz	EEG	microvolts	499.991593299685
F4	EEG	microvolts	499.991593299685
F8	EEG	microvolts	499.991593299685
FC5	EEG	microvolts	499.991593299685
FC1	EEG	microvolts	499.991593299685
FC2	EEG	microvolts	499.991593299685
FC6	EEG	microvolts	499.991593299685
T7	EEG	microvolts	499.991593299685
C3	EEG	microvolts	499.991593299685
Cz	EEG	microvolts	499.991593299685
C4	EEG	microvolts	499.991593299685
T8	EEG	microvolts	499.991593299685
TP9	EEG	microvolts	499.991593299685
CP5	EEG	microvolts	499.991593299685
CP1	EEG	microvolts	499.991593299685
CP2	EEG	microvolts	499.991593299685
CP6	EEG	microvolts	499.991593299685
TP10	EEG	microvolts	499.991593299685
P7	EEG	microvolts	499.991593299685
P3	EEG	microvolts	499.991593299685
Pz	EEG	microvolts	499.991593299685
P4	EEG	microvolts	499.991593299685
P8	EEG	microvolts	499.991593299685
PO9	EEG	microvolts	499.991593299685
O1	EEG	microvolts	499.991593299685
Oz	EEG	microvolts	499.991593299685
O2	EEG	microvolts	499.991593299685
PO10	EEG	microvolts	499.991593299685
AF7	EEG	microvolts	499.991593299685
AF3	EEG	microvolts	499.991593299685
AF4	EEG	microvolts	499.991593299685
AF8	EEG	microvolts	499.991593299685
F5	EEG	microvolts	499.991593299685
F1	EEG	microvolts	499.991593299685
F2	EEG	microvolts	499.991593299685
F6	EEG	microvolts	499.991593299685
FT9	EEG	microvolts	499.991593299685
FT7	EEG	microvolts	499.991593299685
FC3	EEG	microvolts	499.991593299685
FC4	EEG	microvolts	499.991593299685
FT8	EEG	microvolts	499.991593299685
FT10	EEG	microvolts	499.991593299685
C5	EEG	microvolts	499.991593299685
C1	EEG	microvolts	499.991593299685
C2	EEG	microvolts	499.991593299685
C6	EEG	microvolts	499.991593299685
TP7	EEG	microvolts	499.991593299685
CP3	EEG	microvolts	499.991593299685
CPz	EEG	microvolts	499.991593299685
CP4	EEG	microvolts	499.991593299685
TP8	EEG	microvolts	499.991593299685
P5	EEG	microvolts	499.991593299685
P1	EEG	microvolts	499.991593299685
P2	EEG	microvolts	499.991593299685
P6	EEG	microvolts	499.991593299685
PO7	EEG	microvolts	499.991593299685
PO3	EEG	microvolts	499.991593299685
POz	EEG	microvolts	499.991593299685
PO4	EEG	microvolts	499.991593299685
PO8	EEG	microvolts	499.991593299685
