name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.991874740992
Fp2	EOG	microvolts	499.991874740992
F7	EEG	microvolts	499.991874740992
F3	EEG	microvolts	499.991874740992
Fz	EEG	microvolts	499.991874740992
F4	EEG	microvolts	499.991874740992
F8	EEG	microvolts	499.991874740992
FC5	EEG	microvolts	499.991874740992
FC1	EEG	microvolts	499.991874740992
FC2	EEG	microvolts	499.991874740992
FC6	EEG	microvolts	499.991874740992
T7	EEG	microvolts	499.991874740992
C3	EEG	microvolts	499.991874740992
Cz	EEG	microvolts	499.991874740992
C4	EEG	microvolts	499.991874740992
T8	EEG	microvolts	499.991874740992
TP9	EEG	microvolts	499.991874740992
CP5	EEG	microvolts	499.991874740992
CP1	EEG	microvolts	499.991874740992
CP2	EEG	microvolts	499.991874740992
CP6	EEG	microvolts	499.991874740992
TP10	EEG	microvolts	499.991874740992
P7	EEG	microvolts	499.991874740992
P3	EEG	microvolts	499.991874740992
Pz	EEG	microvolts	499.991874740992
P4	EEG	microvolts	499.991874740992
P8	EEG	microvolts	499.991874740992
PO9	EEG	microvolts	499.991874740992
O1	EEG	microvolts	499.991874740992
Oz	EEG	microvolts	499.991874740992
O2	EEG	microvolts	499.991874740992
PO10	EEG	microvolts	499.991874740992
AF7	EEG	microvolts	499.991874740992
AF3	EEG	microvolts	499.991874740992
AF4	EEG	microvolts	499.991874740992
AF8	EEG	microvolts	499.991874740992
F5	EEG	microvolts	499.991874740992
F1	EEG	microvolts	499.991874740992
F2	EEG	microvolts	499.991874740992
F6	EEG	microvolts	499.991874740992
FT9	EEG	microvolts	499.991874740992
FT7	EEG	microvolts	499.991874740992
FC3	EEG	microvolts	499.991874740992
FC4	EEG	microvolts	499.991874740992
FT8	EEG	microvolts	499.991874740992
FT10	EEG	microvolts	499.991874740992
C5	EEG	microvolts	499.991874740992
C1	EEG	microvolts	499.991874740992
C2	EEG	microvolts	499.991874740992
C6	EEG	microvolts	499.991874740992
TP7	EEG	microvolts	499.991874740992
CP3	EEG	microvolts	499.991874740992
CPz	EEG	microvolts	499.991874740992
CP4	EEG	microvolts	499.991874740992
TP8	EEG	microvolts	499.991874740992
P5	EEG	microvolts	499.991874740992
P1	EEG	microvolts	499.991874740992
P2	EEG	microvolts	499.991874740992
P6	EEG	microvolts	499.991874740992
PO7	EEG	microvolts	499.991874740992
PO3	EEG	microvolts	499.991874740992
POz	EEG	microvolts	499.991874740992
PO4	EEG	microvolts	499.991874740992
PO8	EEG	microvolts	499.991874740992
