name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.99350976874
Fp2	EOG	microvolts	499.99350976874
F7	EEG	microvolts	499.99350976874
F3	EEG	microvolts	499.99350976874
Fz	EEG	microvolts	499.99350976874
F4	EEG	microvolts	499.99350976874
F8	EEG	microvolts	499.99350976874
FC5	EEG	microvolts	499.99350976874
FC1	EEG	microvolts	499.99350976874
FC2	EEG	microvolts	499.99350976874
FC6	EEG	microvolts	499.99350976874
T7	EEG	microvolts	499.99350976874
C3	EEG	microvolts	499.99350976874
Cz	EEG	microvolts	499.99350976874
C4	EEG	microvolts	499.99350976874
T8	EEG	microvolts	499.99350976874
TP9	EEG	microvolts	499.99350976874
CP5	EEG	microvolts	499.99350976874
CP1	EEG	microvolts	499.99350976874
CP2	EEG	microvolts	499.99350976874
CP6	EEG	microvolts	499.99350976874
TP10	EEG	microvolts	499.99350976874
P7	EEG	microvolts	499.99350976874
P3	EEG	microvolts	499.99350976874
Pz	EEG	microvolts	499.99350976874
P4	EEG	microvolts	499.99350976874
P8	EEG	microvolts	499.99350976874
PO9	EEG	microvolts	499.99350976874
O1	EEG	microvolts	499.99350976874
Oz	EEG	microvolts	499.99350976874
O2	EEG	microvolts	499.99350976874
PO10	EEG	microvolts	499.99350976874
AF7	EEG	microvolts	499.99350976874
AF3	EEG	microvolts	499.99350976874
AF4	EEG	microvolts	499.99350976874
AF8	EEG	microvolts	499.99350976874
F5	EEG	microvolts	499.99350976874
F1	EEG	microvolts	499.99350976874
F2	EEG	microvolts	499.99350976874
F6	EEG	microvolts	499.99350976874
FT9	EEG	microvolts	499.99350976874
FT7	EEG	microvolts	499.99350976874
FC3	EEG	microvolts	499.99350976874
FC4	EEG	microvolts	499.99350976874
FT8	EEG	microvolts	499.99350976874
FT10	EEG	microvolts	499.99350976874
C5	EEG	microvolts	499.99350976874
C1	EEG	microvolts	499.99350976874
C2	EEG	microvolts	499.99350976874
C6	EEG	microvolts	499.99350976874
TP7	EEG	microvolts	499.99350976874
CP3	EEG	microvolts	499.99350976874
CPz	EEG	microvolts	499.99350976874
CP4	EEG	microvolts	499.99350976874
TP8	EEG	microvolts	499.99350976874
P5	EEG	microvolts	499.99350976874
P1	EEG	microvolts	499.99350976874
P2	EEG	microvolts	499.99350976874
P6	EEG	microvolts	499.99350976874
PO7	EEG	microvolts	499.99350976874
PO3	EEG	microvolts	499.99350976874
POz	EEG	microvolts	499.99350976874
PO4	EEG	microvolts	499.99350976874
PO8	EEG	microvolts	499.99350976874
