name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.993304620138
Fp2	EOG	microvolts	499.993304620138
F7	EEG	microvolts	499.993304620138
F3	EEG	microvolts	499.993304620138
Fz	EEG	microvolts	499.993304620138
F4	EEG	microvolts	499.993304620138
F8	EEG	microvolts	499.993304620138
FC5	EEG	microvolts	499.993304620138
FC1	EEG	microvolts	499.993304620138
FC2	EEG	microvolts	499.993304620138
FC6	EEG	microvolts	499.993304620138
T7	EEG	microvolts	499.993304620138
C3	EEG	microvolts	499.993304620138
Cz	EEG	microvolts	499.993304620138
C4	EEG	microvolts	499.993304620138
T8	EEG	microvolts	499.993304620138
TP9	EEG	microvolts	499.993304620138
CP5	EEG	microvolts	499.993304620138
CP1	EEG	microvolts	499.993304620138
CP2	EEG	microvolts	499.993304620138
CP6	EEG	microvolts	499.993304620138
TP10	EEG	microvolts	499.993304620138
P7	EEG	microvolts	499.993304620138
P3	EEG	microvolts	499.993304620138
Pz	EEG	microvolts	499.993304620138
P4	EEG	microvolts	499.993304620138
P8	EEG	microvolts	499.993304620138
PO9	EEG	microvolts	499.993304620138
O1	EEG	microvolts	499.993304620138
Oz	EEG	microvolts	499.993304620138
O2	EEG	microvolts	499.993304620138
PO10	EEG	microvolts	499.993304620138
AF7	EEG	microvolts	499.993304620138
AF3	EEG	microvolts	499.993304620138
AF4	EEG	microvolts	499.993304620138
AF8	EEG	microvolts	499.993304620138
F5	EEG	microvolts	499.993304620138
F1	EEG	microvolts	499.993304620138
F2	EEG	microvolts	499.993304620138
F6	EEG	microvolts	499.993304620138
FT9	EEG	microvolts	499.993304620138
FT7	EEG	microvolts	499.993304620138
FC3	EEG	microvolts	499.993304620138
FC4	EEG	microvolts	499.993304620138
FT8	EEG	microvolts	499.993304620138
FT10	EEG	microvolts	499.993304620138
C5	EEG	microvolts	499.993304620138
C1	EEG	microvolts	499.993304620138
C2	EEG	microvolts	499.993304620138
C6	EEG	microvolts	499.993304620138
TP7	EEG	microvolts	499.993304620138
CP3	EEG	microvolts	499.993304620138
CPz	EEG	microvolts	499.993304620138
CP4	EEG	microvolts	499.993304620138
TP8	EEG	microvolts	499.993304620138
P5	EEG	microvolts	499.993304620138
P1	EEG	microvolts	499.993304620138
P2	EEG	microvolts	499.993304620138
P6	EEG	microvolts	499.993304620138
PO7	EEG	microvolts	499.993304620138
PO3	EEG	microvolts	499.993304620138
POz	EEG	microvolts	499.993304620138
PO4	EEG	microvolts	499.993304620138
PO8	EEG	microvolts	499.993304620138
