name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement
handR_eul_x	ORNT	rad	62.4870665921983	HTCViveRightHand	handR	x	handR
handR_eul_y	ORNT	rad	62.4870665921983	HTCViveRightHand	handR	y	handR
handR_eul_z	ORNT	rad	62.4870665921983	HTCViveRightHand	handR	z	handR
handR_cart_x	POS	m	62.4870665921983	HTCViveRightHand	handR	x	handR
handR_cart_y	POS	m	62.4870665921983	HTCViveRightHand	handR	y	handR
handR_cart_z	POS	m	62.4870665921983	HTCViveRightHand	handR	z	handR
HTCViveRightHand_latency	LATENCY	seconds	62.4870665921983	HTCViveRightHand	n/a	n/a	n/a
