name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.993775221418
Fp2	EOG	microvolts	499.993775221418
F7	EEG	microvolts	499.993775221418
F3	EEG	microvolts	499.993775221418
Fz	EEG	microvolts	499.993775221418
F4	EEG	microvolts	499.993775221418
F8	EEG	microvolts	499.993775221418
FC5	EEG	microvolts	499.993775221418
FC1	EEG	microvolts	499.993775221418
FC2	EEG	microvolts	499.993775221418
FC6	EEG	microvolts	499.993775221418
T7	EEG	microvolts	499.993775221418
C3	EEG	microvolts	499.993775221418
Cz	EEG	microvolts	499.993775221418
C4	EEG	microvolts	499.993775221418
T8	EEG	microvolts	499.993775221418
TP9	EEG	microvolts	499.993775221418
CP5	EEG	microvolts	499.993775221418
CP1	EEG	microvolts	499.993775221418
CP2	EEG	microvolts	499.993775221418
CP6	EEG	microvolts	499.993775221418
TP10	EEG	microvolts	499.993775221418
P7	EEG	microvolts	499.993775221418
P3	EEG	microvolts	499.993775221418
Pz	EEG	microvolts	499.993775221418
P4	EEG	microvolts	499.993775221418
P8	EEG	microvolts	499.993775221418
PO9	EEG	microvolts	499.993775221418
O1	EEG	microvolts	499.993775221418
Oz	EEG	microvolts	499.993775221418
O2	EEG	microvolts	499.993775221418
PO10	EEG	microvolts	499.993775221418
AF7	EEG	microvolts	499.993775221418
AF3	EEG	microvolts	499.993775221418
AF4	EEG	microvolts	499.993775221418
AF8	EEG	microvolts	499.993775221418
F5	EEG	microvolts	499.993775221418
F1	EEG	microvolts	499.993775221418
F2	EEG	microvolts	499.993775221418
F6	EEG	microvolts	499.993775221418
FT9	EEG	microvolts	499.993775221418
FT7	EEG	microvolts	499.993775221418
FC3	EEG	microvolts	499.993775221418
FC4	EEG	microvolts	499.993775221418
FT8	EEG	microvolts	499.993775221418
FT10	EEG	microvolts	499.993775221418
C5	EEG	microvolts	499.993775221418
C1	EEG	microvolts	499.993775221418
C2	EEG	microvolts	499.993775221418
C6	EEG	microvolts	499.993775221418
TP7	EEG	microvolts	499.993775221418
CP3	EEG	microvolts	499.993775221418
CPz	EEG	microvolts	499.993775221418
CP4	EEG	microvolts	499.993775221418
TP8	EEG	microvolts	499.993775221418
P5	EEG	microvolts	499.993775221418
P1	EEG	microvolts	499.993775221418
P2	EEG	microvolts	499.993775221418
P6	EEG	microvolts	499.993775221418
PO7	EEG	microvolts	499.993775221418
PO3	EEG	microvolts	499.993775221418
POz	EEG	microvolts	499.993775221418
PO4	EEG	microvolts	499.993775221418
PO8	EEG	microvolts	499.993775221418
