name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.993831444112
Fp2	EOG	microvolts	499.993831444112
F7	EEG	microvolts	499.993831444112
F3	EEG	microvolts	499.993831444112
Fz	EEG	microvolts	499.993831444112
F4	EEG	microvolts	499.993831444112
F8	EEG	microvolts	499.993831444112
FC5	EEG	microvolts	499.993831444112
FC1	EEG	microvolts	499.993831444112
FC2	EEG	microvolts	499.993831444112
FC6	EEG	microvolts	499.993831444112
T7	EEG	microvolts	499.993831444112
C3	EEG	microvolts	499.993831444112
Cz	EEG	microvolts	499.993831444112
C4	EEG	microvolts	499.993831444112
T8	EEG	microvolts	499.993831444112
TP9	EEG	microvolts	499.993831444112
CP5	EEG	microvolts	499.993831444112
CP1	EEG	microvolts	499.993831444112
CP2	EEG	microvolts	499.993831444112
CP6	EEG	microvolts	499.993831444112
TP10	EEG	microvolts	499.993831444112
P7	EEG	microvolts	499.993831444112
P3	EEG	microvolts	499.993831444112
Pz	EEG	microvolts	499.993831444112
P4	EEG	microvolts	499.993831444112
P8	EEG	microvolts	499.993831444112
PO9	EEG	microvolts	499.993831444112
O1	EEG	microvolts	499.993831444112
Oz	EEG	microvolts	499.993831444112
O2	EEG	microvolts	499.993831444112
PO10	EEG	microvolts	499.993831444112
AF7	EEG	microvolts	499.993831444112
AF3	EEG	microvolts	499.993831444112
AF4	EEG	microvolts	499.993831444112
AF8	EEG	microvolts	499.993831444112
F5	EEG	microvolts	499.993831444112
F1	EEG	microvolts	499.993831444112
F2	EEG	microvolts	499.993831444112
F6	EEG	microvolts	499.993831444112
FT9	EEG	microvolts	499.993831444112
FT7	EEG	microvolts	499.993831444112
FC3	EEG	microvolts	499.993831444112
FC4	EEG	microvolts	499.993831444112
FT8	EEG	microvolts	499.993831444112
FT10	EEG	microvolts	499.993831444112
C5	EEG	microvolts	499.993831444112
C1	EEG	microvolts	499.993831444112
C2	EEG	microvolts	499.993831444112
C6	EEG	microvolts	499.993831444112
TP7	EEG	microvolts	499.993831444112
CP3	EEG	microvolts	499.993831444112
CPz	EEG	microvolts	499.993831444112
CP4	EEG	microvolts	499.993831444112
TP8	EEG	microvolts	499.993831444112
P5	EEG	microvolts	499.993831444112
P1	EEG	microvolts	499.993831444112
P2	EEG	microvolts	499.993831444112
P6	EEG	microvolts	499.993831444112
PO7	EEG	microvolts	499.993831444112
PO3	EEG	microvolts	499.993831444112
POz	EEG	microvolts	499.993831444112
PO4	EEG	microvolts	499.993831444112
PO8	EEG	microvolts	499.993831444112
