name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.993403265016
Fp2	EOG	microvolts	499.993403265016
F7	EEG	microvolts	499.993403265016
F3	EEG	microvolts	499.993403265016
Fz	EEG	microvolts	499.993403265016
F4	EEG	microvolts	499.993403265016
F8	EEG	microvolts	499.993403265016
FC5	EEG	microvolts	499.993403265016
FC1	EEG	microvolts	499.993403265016
FC2	EEG	microvolts	499.993403265016
FC6	EEG	microvolts	499.993403265016
T7	EEG	microvolts	499.993403265016
C3	EEG	microvolts	499.993403265016
Cz	EEG	microvolts	499.993403265016
C4	EEG	microvolts	499.993403265016
T8	EEG	microvolts	499.993403265016
TP9	EEG	microvolts	499.993403265016
CP5	EEG	microvolts	499.993403265016
CP1	EEG	microvolts	499.993403265016
CP2	EEG	microvolts	499.993403265016
CP6	EEG	microvolts	499.993403265016
TP10	EEG	microvolts	499.993403265016
P7	EEG	microvolts	499.993403265016
P3	EEG	microvolts	499.993403265016
Pz	EEG	microvolts	499.993403265016
P4	EEG	microvolts	499.993403265016
P8	EEG	microvolts	499.993403265016
PO9	EEG	microvolts	499.993403265016
O1	EEG	microvolts	499.993403265016
Oz	EEG	microvolts	499.993403265016
O2	EEG	microvolts	499.993403265016
PO10	EEG	microvolts	499.993403265016
AF7	EEG	microvolts	499.993403265016
AF3	EEG	microvolts	499.993403265016
AF4	EEG	microvolts	499.993403265016
AF8	EEG	microvolts	499.993403265016
F5	EEG	microvolts	499.993403265016
F1	EEG	microvolts	499.993403265016
F2	EEG	microvolts	499.993403265016
F6	EEG	microvolts	499.993403265016
FT9	EEG	microvolts	499.993403265016
FT7	EEG	microvolts	499.993403265016
FC3	EEG	microvolts	499.993403265016
FC4	EEG	microvolts	499.993403265016
FT8	EEG	microvolts	499.993403265016
FT10	EEG	microvolts	499.993403265016
C5	EEG	microvolts	499.993403265016
C1	EEG	microvolts	499.993403265016
C2	EEG	microvolts	499.993403265016
C6	EEG	microvolts	499.993403265016
TP7	EEG	microvolts	499.993403265016
CP3	EEG	microvolts	499.993403265016
CPz	EEG	microvolts	499.993403265016
CP4	EEG	microvolts	499.993403265016
TP8	EEG	microvolts	499.993403265016
P5	EEG	microvolts	499.993403265016
P1	EEG	microvolts	499.993403265016
P2	EEG	microvolts	499.993403265016
P6	EEG	microvolts	499.993403265016
PO7	EEG	microvolts	499.993403265016
PO3	EEG	microvolts	499.993403265016
POz	EEG	microvolts	499.993403265016
PO4	EEG	microvolts	499.993403265016
PO8	EEG	microvolts	499.993403265016
