name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.992906036714
Fp2	EOG	microvolts	499.992906036714
F7	EEG	microvolts	499.992906036714
F3	EEG	microvolts	499.992906036714
Fz	EEG	microvolts	499.992906036714
F4	EEG	microvolts	499.992906036714
F8	EEG	microvolts	499.992906036714
FC5	EEG	microvolts	499.992906036714
FC1	EEG	microvolts	499.992906036714
FC2	EEG	microvolts	499.992906036714
FC6	EEG	microvolts	499.992906036714
T7	EEG	microvolts	499.992906036714
C3	EEG	microvolts	499.992906036714
Cz	EEG	microvolts	499.992906036714
C4	EEG	microvolts	499.992906036714
T8	EEG	microvolts	499.992906036714
TP9	EEG	microvolts	499.992906036714
CP5	EEG	microvolts	499.992906036714
CP1	EEG	microvolts	499.992906036714
CP2	EEG	microvolts	499.992906036714
CP6	EEG	microvolts	499.992906036714
TP10	EEG	microvolts	499.992906036714
P7	EEG	microvolts	499.992906036714
P3	EEG	microvolts	499.992906036714
Pz	EEG	microvolts	499.992906036714
P4	EEG	microvolts	499.992906036714
P8	EEG	microvolts	499.992906036714
PO9	EEG	microvolts	499.992906036714
O1	EEG	microvolts	499.992906036714
Oz	EEG	microvolts	499.992906036714
O2	EEG	microvolts	499.992906036714
PO10	EEG	microvolts	499.992906036714
AF7	EEG	microvolts	499.992906036714
AF3	EEG	microvolts	499.992906036714
AF4	EEG	microvolts	499.992906036714
AF8	EEG	microvolts	499.992906036714
F5	EEG	microvolts	499.992906036714
F1	EEG	microvolts	499.992906036714
F2	EEG	microvolts	499.992906036714
F6	EEG	microvolts	499.992906036714
FT9	EEG	microvolts	499.992906036714
FT7	EEG	microvolts	499.992906036714
FC3	EEG	microvolts	499.992906036714
FC4	EEG	microvolts	499.992906036714
FT8	EEG	microvolts	499.992906036714
FT10	EEG	microvolts	499.992906036714
C5	EEG	microvolts	499.992906036714
C1	EEG	microvolts	499.992906036714
C2	EEG	microvolts	499.992906036714
C6	EEG	microvolts	499.992906036714
TP7	EEG	microvolts	499.992906036714
CP3	EEG	microvolts	499.992906036714
CPz	EEG	microvolts	499.992906036714
CP4	EEG	microvolts	499.992906036714
TP8	EEG	microvolts	499.992906036714
P5	EEG	microvolts	499.992906036714
P1	EEG	microvolts	499.992906036714
P2	EEG	microvolts	499.992906036714
P6	EEG	microvolts	499.992906036714
PO7	EEG	microvolts	499.992906036714
PO3	EEG	microvolts	499.992906036714
POz	EEG	microvolts	499.992906036714
PO4	EEG	microvolts	499.992906036714
PO8	EEG	microvolts	499.992906036714
