name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.993176445892
Fp2	EOG	microvolts	499.993176445892
F7	EEG	microvolts	499.993176445892
F3	EEG	microvolts	499.993176445892
Fz	EEG	microvolts	499.993176445892
F4	EEG	microvolts	499.993176445892
F8	EEG	microvolts	499.993176445892
FC5	EEG	microvolts	499.993176445892
FC1	EEG	microvolts	499.993176445892
FC2	EEG	microvolts	499.993176445892
FC6	EEG	microvolts	499.993176445892
T7	EEG	microvolts	499.993176445892
C3	EEG	microvolts	499.993176445892
Cz	EEG	microvolts	499.993176445892
C4	EEG	microvolts	499.993176445892
T8	EEG	microvolts	499.993176445892
TP9	EEG	microvolts	499.993176445892
CP5	EEG	microvolts	499.993176445892
CP1	EEG	microvolts	499.993176445892
CP2	EEG	microvolts	499.993176445892
CP6	EEG	microvolts	499.993176445892
TP10	EEG	microvolts	499.993176445892
P7	EEG	microvolts	499.993176445892
P3	EEG	microvolts	499.993176445892
Pz	EEG	microvolts	499.993176445892
P4	EEG	microvolts	499.993176445892
P8	EEG	microvolts	499.993176445892
PO9	EEG	microvolts	499.993176445892
O1	EEG	microvolts	499.993176445892
Oz	EEG	microvolts	499.993176445892
O2	EEG	microvolts	499.993176445892
PO10	EEG	microvolts	499.993176445892
AF7	EEG	microvolts	499.993176445892
AF3	EEG	microvolts	499.993176445892
AF4	EEG	microvolts	499.993176445892
AF8	EEG	microvolts	499.993176445892
F5	EEG	microvolts	499.993176445892
F1	EEG	microvolts	499.993176445892
F2	EEG	microvolts	499.993176445892
F6	EEG	microvolts	499.993176445892
FT9	EEG	microvolts	499.993176445892
FT7	EEG	microvolts	499.993176445892
FC3	EEG	microvolts	499.993176445892
FC4	EEG	microvolts	499.993176445892
FT8	EEG	microvolts	499.993176445892
FT10	EEG	microvolts	499.993176445892
C5	EEG	microvolts	499.993176445892
C1	EEG	microvolts	499.993176445892
C2	EEG	microvolts	499.993176445892
C6	EEG	microvolts	499.993176445892
TP7	EEG	microvolts	499.993176445892
CP3	EEG	microvolts	499.993176445892
CPz	EEG	microvolts	499.993176445892
CP4	EEG	microvolts	499.993176445892
TP8	EEG	microvolts	499.993176445892
P5	EEG	microvolts	499.993176445892
P1	EEG	microvolts	499.993176445892
P2	EEG	microvolts	499.993176445892
P6	EEG	microvolts	499.993176445892
PO7	EEG	microvolts	499.993176445892
PO3	EEG	microvolts	499.993176445892
POz	EEG	microvolts	499.993176445892
PO4	EEG	microvolts	499.993176445892
PO8	EEG	microvolts	499.993176445892
