name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.991053590351
Fp2	EOG	microvolts	499.991053590351
F7	EEG	microvolts	499.991053590351
F3	EEG	microvolts	499.991053590351
Fz	EEG	microvolts	499.991053590351
F4	EEG	microvolts	499.991053590351
F8	EEG	microvolts	499.991053590351
FC5	EEG	microvolts	499.991053590351
FC1	EEG	microvolts	499.991053590351
FC2	EEG	microvolts	499.991053590351
FC6	EEG	microvolts	499.991053590351
T7	EEG	microvolts	499.991053590351
C3	EEG	microvolts	499.991053590351
Cz	EEG	microvolts	499.991053590351
C4	EEG	microvolts	499.991053590351
T8	EEG	microvolts	499.991053590351
TP9	EEG	microvolts	499.991053590351
CP5	EEG	microvolts	499.991053590351
CP1	EEG	microvolts	499.991053590351
CP2	EEG	microvolts	499.991053590351
CP6	EEG	microvolts	499.991053590351
TP10	EEG	microvolts	499.991053590351
P7	EEG	microvolts	499.991053590351
P3	EEG	microvolts	499.991053590351
Pz	EEG	microvolts	499.991053590351
P4	EEG	microvolts	499.991053590351
P8	EEG	microvolts	499.991053590351
PO9	EEG	microvolts	499.991053590351
O1	EEG	microvolts	499.991053590351
Oz	EEG	microvolts	499.991053590351
O2	EEG	microvolts	499.991053590351
PO10	EEG	microvolts	499.991053590351
AF7	EEG	microvolts	499.991053590351
AF3	EEG	microvolts	499.991053590351
AF4	EEG	microvolts	499.991053590351
AF8	EEG	microvolts	499.991053590351
F5	EEG	microvolts	499.991053590351
F1	EEG	microvolts	499.991053590351
F2	EEG	microvolts	499.991053590351
F6	EEG	microvolts	499.991053590351
FT9	EEG	microvolts	499.991053590351
FT7	EEG	microvolts	499.991053590351
FC3	EEG	microvolts	499.991053590351
FC4	EEG	microvolts	499.991053590351
FT8	EEG	microvolts	499.991053590351
FT10	EEG	microvolts	499.991053590351
C5	EEG	microvolts	499.991053590351
C1	EEG	microvolts	499.991053590351
C2	EEG	microvolts	499.991053590351
C6	EEG	microvolts	499.991053590351
TP7	EEG	microvolts	499.991053590351
CP3	EEG	microvolts	499.991053590351
CPz	EEG	microvolts	499.991053590351
CP4	EEG	microvolts	499.991053590351
TP8	EEG	microvolts	499.991053590351
P5	EEG	microvolts	499.991053590351
P1	EEG	microvolts	499.991053590351
P2	EEG	microvolts	499.991053590351
P6	EEG	microvolts	499.991053590351
PO7	EEG	microvolts	499.991053590351
PO3	EEG	microvolts	499.991053590351
POz	EEG	microvolts	499.991053590351
PO4	EEG	microvolts	499.991053590351
PO8	EEG	microvolts	499.991053590351
