name	type	units	sampling_frequency
Fp1	EEG	microvolts	499.992620059882
Fp2	EOG	microvolts	499.992620059882
F7	EEG	microvolts	499.992620059882
F3	EEG	microvolts	499.992620059882
Fz	EEG	microvolts	499.992620059882
F4	EEG	microvolts	499.992620059882
F8	EEG	microvolts	499.992620059882
FC5	EEG	microvolts	499.992620059882
FC1	EEG	microvolts	499.992620059882
FC2	EEG	microvolts	499.992620059882
FC6	EEG	microvolts	499.992620059882
T7	EEG	microvolts	499.992620059882
C3	EEG	microvolts	499.992620059882
Cz	EEG	microvolts	499.992620059882
C4	EEG	microvolts	499.992620059882
T8	EEG	microvolts	499.992620059882
TP9	EEG	microvolts	499.992620059882
CP5	EEG	microvolts	499.992620059882
CP1	EEG	microvolts	499.992620059882
CP2	EEG	microvolts	499.992620059882
CP6	EEG	microvolts	499.992620059882
TP10	EEG	microvolts	499.992620059882
P7	EEG	microvolts	499.992620059882
P3	EEG	microvolts	499.992620059882
Pz	EEG	microvolts	499.992620059882
P4	EEG	microvolts	499.992620059882
P8	EEG	microvolts	499.992620059882
PO9	EEG	microvolts	499.992620059882
O1	EEG	microvolts	499.992620059882
Oz	EEG	microvolts	499.992620059882
O2	EEG	microvolts	499.992620059882
PO10	EEG	microvolts	499.992620059882
AF7	EEG	microvolts	499.992620059882
AF3	EEG	microvolts	499.992620059882
AF4	EEG	microvolts	499.992620059882
AF8	EEG	microvolts	499.992620059882
F5	EEG	microvolts	499.992620059882
F1	EEG	microvolts	499.992620059882
F2	EEG	microvolts	499.992620059882
F6	EEG	microvolts	499.992620059882
FT9	EEG	microvolts	499.992620059882
FT7	EEG	microvolts	499.992620059882
FC3	EEG	microvolts	499.992620059882
FC4	EEG	microvolts	499.992620059882
FT8	EEG	microvolts	499.992620059882
FT10	EEG	microvolts	499.992620059882
C5	EEG	microvolts	499.992620059882
C1	EEG	microvolts	499.992620059882
C2	EEG	microvolts	499.992620059882
C6	EEG	microvolts	499.992620059882
TP7	EEG	microvolts	499.992620059882
CP3	EEG	microvolts	499.992620059882
CPz	EEG	microvolts	499.992620059882
CP4	EEG	microvolts	499.992620059882
TP8	EEG	microvolts	499.992620059882
P5	EEG	microvolts	499.992620059882
P1	EEG	microvolts	499.992620059882
P2	EEG	microvolts	499.992620059882
P6	EEG	microvolts	499.992620059882
PO7	EEG	microvolts	499.992620059882
PO3	EEG	microvolts	499.992620059882
POz	EEG	microvolts	499.992620059882
PO4	EEG	microvolts	499.992620059882
PO8	EEG	microvolts	499.992620059882
